Head_x,Head_y,ElbowRight_x,ElbowRight_y,ElbowLeft_x,ElbowLeft_y,HandRight_x,HandRight_y,HandLeft_x,HandLeft_y,KneeRight_x,KneeRight_y,KneeLeft_x,KneeLeft_y,FootRight_x,FootRight_y,FootLeft_x,FootLeft_y,SpineBase_x,SpineBase_y,SpineShoulder_x,SpineShoulder_y,
0.05449,-0.67345,-0.24165,-0.23719,0.18739,-0.10671,-0.31233,-0.09806,0.25351,-0.45147,-0.28939,-0.07565,0.22123,0.12499,-0.61927,0.25693,0.10959,0.4295,-0.22092,-0.00339,0.02588,-0.40534,
0.07326,-0.65109,-0.27172,-0.25257,0.17,-0.11814,-0.31153,-0.11208,0.26666,-0.47407,-0.27421,-0.06119,0.20448,0.15614,-0.64435,0.25744,0.10537,0.46041,-0.21261,-0.00656,-0.02727,-0.4212,
0.04185,-0.64963,-0.28181,-0.20265,0.12411,-0.15159,-0.28874,-0.08854,0.25222,-0.49482,-0.23813,-0.01826,0.17778,0.15874,-0.62088,0.26988,0.08737,0.40278,-0.18922,0.02748,-0.02727,-0.4212,
0.04493,-0.68889,-0.28,-0.21999,0.08444,-0.18666,-0.26771,-0.12362,0.25439,-0.49245,-0.25289,0.041,0.23771,0.12354,-0.57561,0.303,0.11885,0.37638,-0.18083,0.0531,-0.02727,-0.4212,
0.02244,-0.64131,-0.25253,-0.23641,0.10749,-0.2148,-0.26653,-0.13831,0.28877,-0.5102,-0.28099,0.02889,0.23401,0.11851,-0.52927,0.29933,0.24524,0.40322,-0.19359,0.00982,-0.02727,-0.4212,
-0.00889,-0.67211,-0.31702,-0.36513,0.07984,-0.21401,-0.2891,-0.10807,0.2275,-0.47575,-0.31709,0.03678,0.28623,0.14832,-0.57912,0.3206,0.26485,0.383,-0.17075,0.04642,-0.02727,-0.4212,
0.0271,-0.63267,-0.32709,-0.36579,0.09508,-0.23682,-0.27213,-0.11527,0.25513,-0.48746,-0.26819,0.00011,0.07629,-0.1227,-0.57102,0.33674,0.0948,0.0783,-0.1719,0.07337,-0.02727,-0.4212,
0.03861,-0.60942,-0.35602,-0.37547,0.23511,-0.29112,-0.29565,-0.09923,0.24058,-0.5132,-0.28962,-0.03905,0.01973,-0.11184,-0.53044,0.37749,0.07988,0.04481,-0.1689,0.12127,-0.02727,-0.4212,
-0.06831,-0.66123,-0.37218,-0.3406,0.20842,-0.31412,-0.31613,-0.0847,0.27254,-0.51492,-0.33212,-0.00889,0.05498,-0.15126,-0.49207,0.39714,0.09268,0.12256,-0.21743,0.08564,-0.02727,-0.4212,
-0.06004,-0.6599,-0.35698,-0.34223,0.22716,-0.30458,-0.31839,-0.12782,0.29156,-0.50884,-0.29207,-0.05058,0.03951,-0.17704,-0.53862,0.35071,0.10702,0.10667,-0.17043,0.0575,-0.02727,-0.4212,
-0.06374,-0.6611,-0.36532,-0.34676,0.22542,-0.3004,-0.32358,-0.10238,0.31896,-0.50996,-0.25984,-0.05105,0.00531,-0.19262,-0.56096,0.35748,0.07323,0.12015,-0.15528,0.037,-0.02727,-0.4212,
-0.06501,-0.64664,-0.37799,-0.32758,0.23633,-0.3346,-0.27572,-0.08619,0.29234,-0.55395,-0.24206,-0.09628,-0.03852,-0.15081,-0.58877,0.31136,0.05641,0.11696,-0.16484,-0.00739,-0.02727,-0.4212,
